ID,Pole no. on street,Street Ids,Outside House no.,Pole Location,Opposite House no.,EASTING,NORTHING
1,1,3659,,1st ABBEY ST UPP,,315650,234430
2,1,3660,26,1st ABBEY PARK,,319235,237933
3,2,3660,11,,,319240,237955
4,3,3660,18,,,319257,237978
5,4,3660,,SIDE H18 PASSAGE TO KILLESTER PARK,,319270,237960
6,1,4389,18,(1ST ASHINGTON PARK),,312413,237221
7,2,4389,10,,,312404,237192
8,3,4389,18,,,312411,237165
9,4,4389,26,,,312430,237137
10,5,4389,30,,,312438,237119
11,6,4389,,,34,312443,237093
12,7,4389,38,,,312426,237082
13,8,4389,46,,,312414,237057
14,9,4389,54,,,312403,237032
15,10,4389,64,,,312392,237007
16,11,4389,72,,,312381,236982
17,12,4389,78,,,312370,236955
18,13,4389,88,,,312359,236930
19,14,4389,,,94,312348,236892
20,15,4389,,,98,312327,236875
21,16,4389,106,,,312293,236872
22,17,4389,114,,,312270,236861
23,18,4389,,(WALKWAY  ON GREEN),116,312284,236830
24,19,4389,122,,,312245,236848
25,20,4389,,WALKWAY ON GREEN],122,312277,236814
26,21,4389,130,,,312223,236837
27,22,4389,142,,,312203,236811
28,23,4389,150,,,312199,236788
29,24,4389,156,,,312197,236769
30,25,4389,168,,,312205,236744
31,26,4389,174,,,312222,236730
32,27,4389,178,,,312262,236715
33,28,4389,196,,,312283,236692
34,29,4389,204,,,312308,236683
35,30,4389,210,,,312331,236678
36,31,4389,220,(SIDE H35 CHURCH WALK),,312361,236676
37,1,1,2,1st KILLESTER AVE,,319119,237787
38,2,1,12,,,319145,237819
39,3,1,24,,,319171,237852
40,4,1,32,1st ABBEY COURT,,319213,237907
41,1,2,,OPP IRISH LIFE (1ST BERESFORD PLACE),,-8,-1
42,2,2,,AT IRISH LIFE,,0,0
43,3,2,,OPP SALVATION  ARMY,,0,0
44,4,2,,ATTHE SALVATION  ARMY,,0,0
45,5,2,,AT CHURCH,,0,0
46,6,2,,AT T.S.B,,0,0
47,7,2,,OPP NATIONAL LOTTERY,,0,0
48,8,2,,AT AN POST LOTTERY,,0,0
49,9,2,,OPP  H10,,0,0
50,10,2,,H10,,0,0
51,11,2,,AT CLUB TRAVEL,,0,0
52,12,2,,OPP CLUB TRAVEL,,0,0
53,13,2,,AT TRAVEL CENTRE,,0,0
54,14,2,,AT VERITAS,,0,0
55,15,2,,OPP  IRISH  PERMANENT,,0,0
56,16,2,,AT IRISH PERMANENT (1ST O CONNELL STREET),,0,0
57,17,3,,AT SUPERMACS (1ST O CONNELL STREET),,0,0
58,18,3,,AT THE OVAL BAR,,0,0
59,19,3,,H70,,0,0
60,20,3,,OPP  H63,,0,0
61,21,3,,H59,,0,0
62,22,3,,AT ARNOTTS,,0,0
63,23,3,,SIDE H48,,0,0
