AreaName,PostalStreetName,Location,UnitNumber,ComponentDescription,ColumnName,Network,Northing,Easting
FIRHOUSE VILLAGE,Monalea Park,Front,1,55W SOX,Octagonal,UnderGround,227279.13,311376.03
FIRHOUSE VILLAGE,Monalea Park,Front,2,55W SOXE,Octagonal,UnderGround,227219.92,311381.42
FIRHOUSE VILLAGE,Monalea Park,Opposite,3,55W SOXE,Octagonal,UnderGround,227192.15,311379.33
FIRHOUSE VILLAGE,Monalea Park,Front,4,55W SOX,Octagonal,UnderGround,227248.47,311369.41
FIRHOUSE VILLAGE,Monalea Park,Side,10,55W SOX,Octagonal,UnderGround,227297.74,311257.57
FIRHOUSE VILLAGE,Monalea Park,Opposite,11,55W SOXE,Octagonal,UnderGround,227304.39,311332.54
FIRHOUSE VILLAGE,Monalea Park,Opposite,5,55W SOXE,Octagonal,UnderGround,227175.17,311305.2
FIRHOUSE VILLAGE,Monalea Park,Front,6,55W SOX,Octagonal,UnderGround,227201.61,311298.18
FIRHOUSE VILLAGE,Monalea Park,Front,7,55W SOX,Octagonal,UnderGround,227230.28,311296.11
FIRHOUSE VILLAGE,Monalea Park,Front,8,55W SOX,Octagonal,UnderGround,227260.49,311293.2
FIRHOUSE VILLAGE,Monalea Park,Front,9,55W SOXE,Octagonal,UnderGround,227289.06,311291.14
FIRHOUSE VILLAGE,Monalea Park,Entrance,13,90W SOX,Octagonal,UnderGround,227310.18,311399.59
FIRHOUSE VILLAGE,Sally Park,Front,1,55W SOXE,Tubular Steel,UnderGround,227332.497,311217.599
FIRHOUSE VILLAGE,Sally Park,Opposite,2,55W SOXE,Tubular Steel,UnderGround,227352.28,311221.996
FIRHOUSE VILLAGE,Sally Park,Opposite,3,55W SOX,Tubular Steel,UnderGround,227420.957,311203.849
FIRHOUSE VILLAGE,Sally Park,Front,4,55W SOX,Tubular Steel,UnderGround,227401.275,311215.232
FIRHOUSE VILLAGE,Sally Park,Front,5,55W SOXE,Tubular Steel,UnderGround,227355.68,311269.399
FIRHOUSE VILLAGE,Sally Park,Opposite,6,55W SOX,Tubular Steel,UnderGround,227340.338,311239.499
RATHFARNHAM-BALLYROAN,Kilvere,Side,2,55W SOX,Tubular Steel,UnderGround,228505.25,313107.55
RATHFARNHAM-BALLYROAN,Kilvere,Side,1,70W SON,Tubular Steel,UnderGround,228438.48,313113
TEMPLEOGUE-LIMEKILN,Glenmurray Park,Gable,1,55W SOX,Octagonal,UnderGround,229771.136,311545.987
TEMPLEOGUE-LIMEKILN,Glenmurray Park,Front,2,55W SOXE,Octagonal,UnderGround,229779.164,311521.426
TEMPLEOGUE-LIMEKILN,Glenmurray Park,Front,3,55W SOX,Octagonal,UnderGround,229811.799,311496.696
TEMPLEOGUE-LIMEKILN,Glenmurray Park,Front,4,55W SOX,Octagonal,UnderGround,229751.988,311497.544
TEMPLEOGUE-LIMEKILN,Glenmurray Park,Front,5,55W SOX,Octagonal,UnderGround,229712.545,311509.284
TEMPLEOGUE-LIMEKILN,Glenmurray Park,Front,6,55W SOXE,Octagonal,UnderGround,229758.432,311525.963
TERENURE-St. JAMES,St. Peters Road,Roundabout,1,250W SON,Octagonal,UnderGround,230883.957,311136.65
TERENURE-St. JAMES,St. Peters Road,M-Road,2,250W SON,Octagonal,UnderGround,230869.636,311151.571
TERENURE-CHERRYFIELD,St. Peters Road,M-Road,3,135W SOX,Octagonal,UnderGround,230857.224,311185.472
TERENURE-St. JAMES,St. Peters Road,M-Road,4,150W SON,Octagonal,UnderGround,230841.282,311176.217
TERENURE-St. JAMES,St. Peters Road,Front,5,150W SON,Octagonal,UnderGround,230818.94,311188.978
TERENURE-St. JAMES,St. Peters Road,Front,6,150W SON,Octagonal,UnderGround,230793.037,311206.827
TERENURE-St. JAMES,St. Peters Road,Front,7,150W SON,Octagonal,UnderGround,230766.424,311225.806
TERENURE-St. JAMES,St. Peters Road,Front,8,150W SON,Octagonal,UnderGround,230739.341,311244.324
TERENURE-St. JAMES,St. Peters Road,Front,9,150W SON,Octagonal,UnderGround,230715.268,311261.456
TERENURE-St. JAMES,St. Peters Road,Front,10,150W SON,Octagonal,UnderGround,230685.645,311282.283
TERENURE-St. JAMES,St. Peters Road,Front,11,150W SON,Octagonal,UnderGround,230659.162,311299.844
TERENURE-St. JAMES,St. Peters Road,Front,12,150W SON,Octagonal,UnderGround,230637.69,311315.689
TERENURE-St. JAMES,St. Peters Road,Front,13,150W SON,Octagonal,UnderGround,230609.666,311335.922
TERENURE-St. JAMES,St. Peters Road,Front,14,150W SON,Octagonal,UnderGround,230583.343,311354.934
TERENURE-St. JAMES,St. Peters Road,Credit/Uni,15,150W SON,Octagonal,UnderGround,230560.131,311374.343
TERENURE-St. JAMES,St. Peters Road,Front,16,150W SON,Octagonal,UnderGround,230532.948,311393.446
TERENURE-St. JAMES,St. Peters Road,Front,17,150W SON,Octagonal,UnderGround,230508.605,311409.555
TERENURE-St. JAMES,St. Peters Road,Front,18,150W SON,Octagonal,UnderGround,230483.942,311427.52
TERENURE-St. JAMES,St. Peters Road,Front,19,150W SON,Octagonal,UnderGround,230459.389,311444.38
TERENURE-St. JAMES,St. Peters Road,Front,22,150W SON,Octagonal,UnderGround,230375.12,311501.013
